unit,idx,theme,ja,en,ipa,audioUrl,id
8,9,Pass out,教師がクラスの各人にテストを配りました。,The teacher passed out tests to each member of the class.,/ðə ˈtitʃɚ pæst aʊt tɛsts tə itʃ ˈmɛmbɚ əv ðə klæs/,https://www.eight-english.com/wp-content/uploads/2026/03/The-teacher-passed-out-tests-to-each-member-of-the-class.mp3,U002-09
9,10,Run across,京都での休暇中に偶然古い友人に出会いました。,I ran across an old friend while on vacation in Kyoto.,/aɪ ræn əˈkrɔs ən oʊld frɛnd waɪl ɑn veɪˈkeɪʃən ɪn ˈkjoʊtoʊ/,https://www.eight-english.com/wp-content/uploads/2026/03/I-ran-across-an-old-friend-while-on-vacation-in-Kyoto.mp3,U002-10
9,11,Run across,私たちは、たまたまうちの会計ソフトの問題を見つけました。,We have run across a problem with our accounting software.,/wi hæv rʌn əˈkrɔs ə ˈprɑbləm wɪð aʊr əˈkaʊntɪŋ ˈsɔftˌwɛr/,https://www.eight-english.com/wp-content/uploads/2026/03/We-have-run-across-a-problem-with-our-accounting-software.mp3,U002-11
9,12,Run across,この古くて美しい花瓶はどこで見つけたの？！,"Where did you run across this beautiful, old vase?!",/wɛr dɪd ju rʌn əˈkrɔs ðɪs ˈbjutəfəl oʊld veɪs/,https://www.eight-english.com/wp-content/uploads/2026/03/Where-did-you-run-across-this-beautiful-old-vase.mp3,U002-12
10,13,Look up,わからないどんな単語も辞書で調べることが重要です。,It's important to look up any words you don't know in the dictionary.,/ɪts ɪmˈpɔrtənt tə lʊk ʌp ˈɛni wɝdz ju doʊnt noʊ ɪn ðə ˈdɪkʃəˌnɛri/,https://www.eight-english.com/wp-content/uploads/2026/03/Its-important-to-look-up-any-words-you-dont-know-in-the-dictionary.mp3,U002-13
10,14,Look up,帰省したとき、中学時代の古い友人の家を訪問しました。,"When I went back to my hometown, I looked up an old friend from middle school.","/wɛn aɪ wɛnt bæk tə maɪ ˈhoʊmˌtaʊn, aɪ lʊkt ʌp ən oʊld frɛnd frəm ˈmɪdəl skul/",https://www.eight-english.com/wp-content/uploads/2026/03/When-I-went-back-to-my-hometown-I-looked-up-an-old-friend-from-middle-school.mp3,U002-14
10,15,Look up,いったん経済が回復したら、売上が上向くと期待しています。,I expect our sales to look up once the economy recovers.,/aɪ ɪkˈspɛkt aʊɚ seɪlz tə lʊk ʌp wʌns ði ɪˈkɑnəmi rɪˈkʌvɚz/,https://www.eight-english.com/wp-content/uploads/2026/03/I-expect-our-sales-to-look-up-once-the-economy-recovers.mp3,U002-15
11,16,Give back,この本を図書館に返却するつもりです。,I'm going to give these books back to the library.,/aɪm ˈɡoʊɪŋ tə ɡɪv ðiz bʊks bæk tə ðə ˈlaɪˌbrɛri/,https://www.eight-english.com/wp-content/uploads/2026/03/Im-going-to-give-these-books-back-to-the-library.-1-1.mp3,U002-16
11,17,Give back,彼の婚約者は婚約指輪を返して、結婚式を取り消しました。,His fiance gave back the engagement ring and called off the wedding.,/hɪz fiˈɑnseɪ ɡeɪv bæk ði ɪnˈɡeɪdʒmənt rɪŋ ənd kɔld ɔf ðə ˈwɛdɪŋ/,https://www.eight-english.com/wp-content/uploads/2026/03/His-fiance-gave-back-the-engagement-ring-and-called-off-the-wedding.mp3,U002-17
11,18,Give back,億万長者のCEOは新しい高校を建設することで故郷の町に恩返ししました。,The billionaire CEO gave back to his hometown by building a new high school.,/ðə ˌbɪljəˈnɛr ˌsiːiˈoʊ ɡeɪv bæk tə hɪz ˌhoʊmˈtaʊn baɪ ˈbɪldɪŋ ə nu haɪ skul/,https://www.eight-english.com/wp-content/uploads/2026/03/The-billionaire-CEO-gave-back-to-his-hometown-by-building-a-new-high-school.-.mp3,U002-18
12,19,Take off,青いシャツを脱いで代わりにこの赤いシャツを着なさい。,Take off the blue shirt and wear this red one instead.,/teɪk ɔf ðə blu ʃɝt ənd wɛr ðɪs rɛd (wʌn) ɪnˈstɛd/,https://www.eight-english.com/wp-content/uploads/2026/03/Take-off-the-blue-shirt-and-wear-this-red-one-instead.mp3,U002-19
12,20,Take off,どうしてそんなに早く帰っちゃうの？！パーティーは始まったばかりですよ！,Why are you taking off so soon?! The party is just starting!,/waɪ ɚ ju ˈteɪkɪŋ ɔf soʊ sun ðə ˈpɑrti ɪz dʒʌst ˈstɑrtɪŋ/,https://www.eight-english.com/wp-content/uploads/2026/03/Why-are-you-taking-off-so-soon-The-party-is-just-starting.mp3,U002-20
12,21,Take off,ダーツが日本で大流行し始めていると記事で読みました。,I read in a magazine that darts is starting to take off in Japan.,/aɪ rɛd ɪn ə ˌmæɡəˈzin ðət dɑrts ɪz ˈstɑrtɪŋ tə teɪk ɔf ɪn dʒəˈpæn/,https://www.eight-english.com/wp-content/uploads/2026/03/I-read-in-a-magazine-that-darts-is-starting-to-take-off-in-Japan.mp3,U002-21
13,22,Put down,ビジネスマンはテーブルの横にブリーフケースを下ろしました。,The businessman put his briefcase down next to the table.,/ðə ˈbɪznəsmæn pʊt hɪz ˈbrifˌkeɪs daʊn nɛkst tə ðə ˈteɪbəl/,https://www.eight-english.com/wp-content/uploads/2026/03/The-businessman-put-his-briefcase-down-next-to-the-table.mp3,U002-22
13,23,Put down,分厚いメガネをかけているので、みんなはいつも彼を侮辱しています。,People are always putting him down because he wears thick glasses.,/ˈpipəl ɚ ˈɔlweɪz ˈpʊtɪŋ hɪm daʊn bɪˈkɔz hi wɛrz θɪk ˈɡlæsəz/,https://www.eight-english.com/wp-content/uploads/2026/03/People-are-always-putting-him-down-because-he-wears-thick-glasses.mp3,U002-23
13,24,Put down,反乱は政府軍によって即座に鎮圧されました。,The revolt was quickly put down by government forces.,/ðə rɪˈvoʊlt wəz ˈkwɪkli pʊt daʊn baɪ ˈɡʌvɚnmənt ˈfɔrsəz/,https://www.eight-english.com/wp-content/uploads/2026/03/The-revolt-was-quickly-put-down-by-government-forces.mp3,U002-24
14,25,Do over,洗剤を入れ忘れて、洗濯をやり直さなければなりませんでした。,"I had to do my laundry over because I forgot to add detergent.",/aɪ hæd tə du maɪ ˈlɔndri ˈoʊvɚ bɪˈkɔz aɪ fərˈɡɑt tə æd dɪˈtɝdʒənt/,https://www.eight-english.com/wp-content/uploads/2026/03/I-had-to-do-my-laundry-over-because-I-forgot-to-add-detergent.mp3,U003-25
14,26,Do over,もう一度やり直せるのなら、若すぎる結婚はしないでしょう。,"If I could do it over again, I wouldn't get married so young.",/ɪf aɪ kʊd du ɪt ˈoʊvɚ əˈɡɛn aɪ ˈwʊdənt ɡɛt ˈmærid soʊ jʌŋ/,https://www.eight-english.com/wp-content/uploads/2026/03/If-I-could-do-it-over-again-I-wouldnt-get-married-so-young.mp3,U003-26
15,27,Break down,車が故障したので仕事に2時間遅刻しました。,"I was two hours late to work because my car broke down.",/aɪ wəz tu ˈaʊɚz leɪt tə wɝk bɪˈkʌz maɪ kɑr broʊk daʊn/,https://www.eight-english.com/wp-content/uploads/2026/03/I-was-two-hours-late-to-work-because-my-car-broke-down.mp3,U003-27
15,28,Break down,授賞式でのスピーチの最中に、その俳優は泣き出しました。,"The actor broke down during his speech at the award ceremony.",/ði ˈæktɚ broʊk daʊn ˈdʊrɪŋ hɪz spiːtʃ ət ði əˈwɔrd ˌsɛrəˌmoʊni/,https://www.eight-english.com/wp-content/uploads/2026/03/The-actor-broke-down-during-his-speech-at-the-award-ceremony.mp3,U003-28
16,3,Fill out,このかんたんなアンケートにご記入いただいたお客さまは、20%の割引が受けられます。,"Customers who fill out this simple questionnaire can get a 20% discount.",/ˈkʌstəmɚz hu fɪl aʊt ðɪs ˈsɪmpəl ˌkwɛstʃəˈnɛr kən ɡɛt ə ˈtwɛni pɚˈsɛnt ˈdɪsˌkaʊnt/,audio/unit16/U016-03.mp3,U016-03
16,4,Fill out,若い頃はとても痩せていましたが、高校時代に健康な体つきになりました。,"I was very skinny in my youth but filled out during my high school years.",/aɪ wəz ˈvɛri ˈskɪni ɪn maɪ juːθ bət fɪld aʊt ˈdʊrɪŋ maɪ haɪ skul jɪrz/,audio/unit16/U016-04.mp3,U016-04
17,2,Hold up,警備員にはっきり見えるようにパスポートを持ち上げてください。,"Hold up your passports so the security guards can see them clearly.",/hoʊld ʌp jɚ ˈpæsˌpɔrts soʊ ðə sɪˈkjʊrəti ɡɑrdz kən si ðɛm ˈklɪrli/,audio/unit17/U017-02.mp3,U017-02
17,3,Hold up,吹雪のため、電車の出発が遅れました。,"Our train's departure was held up due to a snowstorm.",/ˈaʊɚ treɪndz dɪˈpɑrtʃɚ wəz hɛld ʌp du tu ə ˈsnoʊˌstɔrm/,audio/unit17/U017-03.mp3,U017-03
17,4,Hold up,会議を遅らせてしまいほんとうにすみません。,"I am really sorry for holding up the meeting.",/aɪm ˈrɪli ˈsɑri fɔr ˈhoʊldɪŋ ʌp ðə ˈmitɪŋ/,audio/unit17/U017-04.mp3,U017-04
17,5,Hold up,4人の男が銀行強盗に入り何百万もの金を盗んで逃げました。,"The four men held up the bank and escaped with millions.",/ðə fɔr mɛn hɛld ʌp ðə bæŋk ənd ɪˈskeɪpt wɪð ˈmɪljənz/,audio/unit17/U017-05.mp3,U017-05
18,1,Hold out,ファンたちはサインをもらおうとして、あらゆる物を差し出しました。,The fans held out all kinds of objects in attempt to get a signature.,/ðə fænz hɛld aʊt ɔl kaɪndz əv ˈɔbdʒekts ɪn əˈtɛmpt tə gɛt ə ˈsɪɡnətʃɚ/,audio/unit18/U018-01.mp3,U018-01
18,4,Hold out,患者は手術しなければ、これ以上持ちこたえることはできないでしょう。,The patient won't be able to hold out much longer without surgery.,/ðə ˈpeɪʃənt woʊnt bi ˈeɪbəl tə hoʊld aʊt mʌtʃ ˈlɔŋɡɚ wɪˈðaʊt ˈsɝdʒəri/,audio/unit18/U018-04.mp3,U018-04
19,1,Turn down,テレビの音量を下げないと、ご近所から苦情が来ますよ！,Turn down your TV or the neighbors are going to complain!,/tɝn daʊn jɚ ˌtiˈvi ɔr ðə ˈneɪbɚz ɚ ˈɡoʊɪŋ tə kəmˈpleɪn/,audio/unit19/U019-01.mp3,U019-01
19,4,Turn down,彼は彼女をデートに誘いましたが、彼女は断りました。,He asked her out on a date but she turned him down.,/hi æskt hɚ aʊt ɑn ə deɪt bət ʃi tɝnd hɪm daʊn/,audio/unit19/U019-04.mp3,U019-04
19,5,Turn down,会社は私にニューヨークでのポジションを提供しましたが、断りました。,The company offered me a position in New York but I turned it down.,/ðə ˈkʌmpəni ˈɔfɚd mi ə pəˈzɪʃən ɪn nu jɔrk bət aɪ tɝnd ɪt daʊn/,audio/unit19/U019-05.mp3,U019-05
20,2,Turn up,この中は凍えるほど寒いですね！ ヒーターの温度を上げてください！,It's freezing in here! Turn up the heat(er)!,/ɪts ˈfrizɪŋ ɪn hɪr tɝn ʌp ðə ˈhitɚ/,audio/unit20/U020-02.mp3,U020-02
20,3,Turn up,なくなったお財布は心配しなくていいですよ、きっと出てきますから。,"Don't worry about your lost wallet, I am sure it will turn up.",/doʊnt ˈwɝi əˈbaʊt jɚ lɔst ˈwɑlət aɪ æm ʃʊr ɪt wɪl tɝn ʌp/,audio/unit20/U020-03.mp3,U020-03
20,4,Turn up,彼は授業に遅れて現れただけでなく、宿題も忘れてきました。,"Not only did he turn up late for class, he forgot his homework.",/nɑt ˈoʊnli dɪd hi tɝn ʌp leɪt fɚ klæs hi fɚˈɡɑt hɪz ˈhoʊmˌwɝk/,audio/unit20/U020-04.mp3,U020-04
20,5,Turn up,警察は犯行現場を捜査しましたが、手掛かりはなにひとつ見つかりませんでした。,The police investigated the crime scene but didn't turn up any clues.,/ðə pəˈlis ɪnˈvɛstəˌɡeɪtəd ðə kraɪm sin bət ˈdɪdənt tɝn ʌp ˈɛni kluz/,audio/unit20/U020-05.mp3,U020-05
21,2,Turn off,グリルの火を消して！ ステーキが焦げているよ！,Turn off the grill! The steaks are burning!,/tɝn ɔf ðə ɡrɪl ðə steɪks ɚ ˈbɝnɪŋ/,audio/unit21/U021-02.mp3,U021-02
21,3,Turn off,ここで曲がって、西に10キロ進みます。,Turn off here and travel west for ten kilometers.,/tɝn ɔf hɪr ənd ˈtrævəl wɛst fɚ tɛn kəˈlɑmɪtɚz/,audio/unit21/U021-03.mp3,U021-03
21,4,Turn off,そのレストランの食事は気に入りましたが、汚いトイレにがっかりしました。,"I like the food at the restaurant, but the dirty bathrooms turned me off.",/aɪ laɪk ðə fud ət ðə ˈrɛstəˌrɑnt bət ðə ˈdɝti ˈbæθˌrumz tɝnd mi ɔf/,audio/unit21/U021-04.mp3,U021-04
21,5,Turn off,彼はとてもハンサムですが、歯が悪いので多くの女性を興ざめさせてしまいます。,"He is really handsome, but his bad teeth turn off a lot of women.",/hi ɪz ˈrɪli ˈhænsəm bət hɪz bæd tiθ tɝn ɔf ə lɑt əv ˈwɪmɪn/,audio/unit21/U021-05.mp3,U021-05
22,2,Hang on to,バスが動いているときは手すりにつかまってください。,Please hang on to the handrail when the bus is in motion.,/pliz hæŋ ɑn tə ðə ˈhændˌreɪl wɛn ðə bʌs ɪz ɪn ˈmoʊʃən/,audio/unit22/U022-02.mp3,U022-02
22,3,Hang on to,その写真をまだ持っていたなんて信じられません！,"I can't believe you've hung on to those photos!",/aɪ kænt bəˈliv juv hʌŋ ɑn tə ðoʊz ˈfoʊtoʊz/,audio/unit22/U022-03.mp3,U022-03
22,5,Hang on,ちょっと待ってくれたら、すぐにそっちに行きますよ。,Hang on a second and I'll be right with you.,/hæŋ ɑn ə ˈsɛkənd ænd aɪl bi raɪt wɪð ju/,audio/unit22/U022-05.mp3,U022-05
23,2,Hang out,私の犬は車の窓から頭を出すのが大好きです。,My dog loves to hang his head out the car window.,/maɪ dɔɡ lʌvz tə hæŋ hɪz hɛd aʊt ðə kɑr ˈwɪndoʊ/,audio/unit23/U023-02.mp3,U023-02
23,3,Hang out,クラスメートと私は、よくこのゲームセンターでぶらぶらしたものです。,My classmates and I used to hang out in this arcade.,/maɪ ˈklæsˌmeɪts ənd aɪ juzd tə hæŋ aʊt ɪn ðɪs ɑrˈkeɪd/,audio/unit23/U023-03.mp3,U023-03
23,5,Hang out,もし空いているなら、今度の土曜日いっしょに過ごしましょう。,Let's hang out this Saturday if you are free.,/lɛts hæŋ aʊt ðɪs ˈsætɚˌdeɪ ɪf ju ɑr fri/,audio/unit23/U023-05.mp3,U023-05
24,1,Keep up,急がないと彼らについていけませんよ！,"Hurry up or you won't be able to keep up with them!","/ˈhɝi ʌp ɔr ju woʊnt bi ˈeɪbəl tə kip ʌp wɪð ðɛm!/",audio/unit24/U024-01-v2.mp3,U024-01
24,3,Keep up,この機器がしっかり整備されていなければ、修理に高額がかかりますよ。,"If this equipment is not kept up properly, it will be expensive to repair.","/ɪf ðɪs ɪˈkwɪpmənt ɪz nɑt kɛpt ʌp ˈprɑpɚli, ɪt wɪl bi ɪkˈspɛntsɪv tə rɪˈpɛr/",audio/unit24/U024-03.mp3,U024-03
24,4,Keep up,うちの近所の人は、庭の手入れにたくさんの時間とお金をかけています。,"Our neighbors spend a lot of time and money keeping up their garden.",/ar ˈneɪbɚz spɛnd ə lɑt əv taɪm ən ˈmʌni ˈkipɪŋ ʌp ðɛr ˈɡɑrdən/,audio/unit24/U024-04-v2.mp3,U024-04
24,5,Keep up,日本語の勉強は続けていますか？,Are you keeping up on your Japanese?,/ɑr ju ˈkipɪŋ ʌp ɑn jɚ ˌdʒæpəˈniz?/,audio/unit24/U024-05-v3.mp3,U024-05
25,1,Look out,なにかの音を聞いて、女性は振り返り窓の外を見ました。,"Hearing a sound, the woman turned and looked out the window.","/ˈhɪrɪŋ ə saʊnd, ðə ˈwʊmən tɝnd ən lʊkt aʊt ðə ˈwɪndoʊ/",audio/unit25/U025-01.mp3,U025-01
25,2,Look out,気をつけて！あの人はナイフを持っています！,Look out! He has a knife!,/lʊk aʊt! hi hæz ə naɪf!/,audio/unit25/U025-02.mp3,U025-02
25,3,Look out,海外旅行するときは、スリに警戒してください。,"When you are traveling abroad, look out for pickpockets.","/wɛn ju ɚ, ˈtrævəlɪŋ əˈbrɑd, lʊk aʊt fɚ ˈpɪkˌpɑkəts/",audio/unit25/U025-03-v2.mp3,U025-03
25,4,Look out,私の妻はいつも注意してセール品を探しています。,My wife is always looking out for products on sale.,/maɪ waɪf ɪz ˈɔlweɪz ˈlʊkɪŋ aʊt fɚ ˈprɑdʌkts ɑn seɪl/,audio/unit25/U025-04.mp3,U025-04
25,5,Look out,よい教師はいつも生徒に気を配っているものです。,Good teachers are always looking out for their students.,/ɡʊd ˈtitʃɚz ar ˈɔlweɪz ˈlʊkɪŋ aʊt fɚ ðɛr ˈstudənts/,audio/unit25/U025-05-v3.mp3,U025-05
26,1,Go through,最近あなたがたくさんの試練をしているのはわかっていますよ。,I know you have been through a lot lately.,/aɪ noʊ ju həv bɪn θru ə lɑt ˈleɪtli/,audio/unit26/U026-01.mp3,U026-01
26,2,Go through,４チームが準決勝に進みます。,Four teams will go through to the semifinals.,/fɔr timz wɪl ɡoʊ θru tə ðə ˌsɛmiˈfaɪnəlz/,audio/unit26/U026-02.mp3,U026-02
26,3,Go through,誘拐されたジャーナリストは、試練の中、多くの辛い体験をしました。,"The kidnapped journalists went through a lot during their ordeal.",/ðə ˈkɪdˌnæpt ˈdʒɝnəlɪsts wɛnt θru ə lɑt ˈdʊrɪŋ ðɛr ɔrˈdiəl/,audio/unit26/U026-03.mp3,U026-03
26,4,Go through,署名する前に契約書の全ページを精査すべきです。,You should go through every page of that contract before you sign it.,/ju ʃʊd ɡoʊ θru ˈɛvri peɪdʒ əv ðæt ˈkɑnˌtrækt bɪˈfɔr ju saɪn ɪt/,audio/unit26/U026-04.mp3,U026-04
26,5,Go through,コンベンションでは、2日で500枚の名刺を使い果たしました！,"At the convention, I went through 500 business cards in two days!","/ət ðə kənˈvɛnʃən, aɪ wɛnt θru faɪv ˈhʌndrəd ˈbɪznəs kɑrdz ɪn tu deɪz!/",audio/unit26/U026-05.mp3,U026-05
27,3,Get along,同い年なので、ご近所とはうまくやっています。,I get along well with my neighbors because we are the same age.,/aɪ ɡɛt əˈlɔŋ wɛl wɪð maɪ ˈneɪbɚz bɪˈkɔz wi ɑr ðə seɪm eɪdʒ/,audio/unit27/U027-03.mp3,U027-03
27,4,Get along,秘書がいなければやっていけません。,I can't get along without a secretary.,/aɪ kænt ɡɛt əˈlɔŋ wɪˈðaʊt ə ˈsɛkrəˌtɛri/,audio/unit27/U027-04.mp3,U027-04
28,1,Call on,数人の生徒が挙手して、先生はジョニーに発言を求めました。,"Several students raised their hands, and the teacher called on Johnny.","/ˈsɛvrəl ˈstudənts reɪzd ðɛr hændz, ənd ðə ˈtitʃɚ kɔld ɑn ˈdʒɑni/",audio/unit28/U028-01.mp3,U028-01
28,2,Call on,会社のロサンゼルス支社を指揮するように、社長が私に依頼しました。,The president called on me to head the LA branch of our company.,/ðə ˈprɛzədənt kɔld ɑn mi tə hɛd ði ˌɛl ˈeɪ bræntʃ əv aʊr ˈkʌmpəni/,audio/unit28/U028-02.mp3,U028-02
28,4,Call on,事前連絡なしに、だれかを訪問するのは不躾です。,It is not polite to call on someone unannounced.,/ɪt ɪz nɑt pəˈlaɪt tə kɔl ɑn ˈsʌmˌwʌn ˌʌnəˈnaʊnst/,audio/unit28/U028-04-v2.mp3,U028-04
29,2,Count on,あなたがこれを手伝ってくれるのを当てにしていますよ。,I'm counting on you to help me with this.,/aɪm ˈkaʊntɪŋ ɑn ju tə hɛlp mi wɪð ðɪs/,audio/unit29/U029-02.mp3,U029-02
29,4,Count on,交通渋滞に巻き込まれるとは予想していませんでした。,I didn't count on being stuck in a traffic jam.,/aɪ ˈdɪdənt kaʊnt ɑn ˈbiɪŋ stʌk ɪn ə ˈtræfɪk dʒæm/,audio/unit29/U029-04.mp3,U029-04
29,5,Count on,必ず行きますよ。間違いなく。,"I'll be there, you can count on it.","/aɪl bi ðɛr, ju kən kaʊnt ɑn ɪt/",audio/unit29/U029-05.mp3,U029-05
30,1,Check out,あのすごいメルセデスを見て！,Check out that awesome Mercedes!,/tʃɛk aʊt ðæt ˈɔsəm mɚˈseɪdiz!/,audio/unit30/U030-01.mp3,U030-01
30,4,Check out,その会社は彼の履歴書を詳しく調査し、彼が嘘をついていたことがわかりました。,The company checked out his resume and found he had lied.,/ðə ˈkʌmpəni tʃɛkt aʊt hɪz ˈrɛzəˌmeɪ ənd faʊnd hi həd laɪd/,audio/unit30/U030-04.mp3,U030-04
31,1,Put up,ちょうどクリスマスのライトを飾り終えたところです。,We just finished putting up our Christmas lights.,/wi dʒʌst ˈfɪnɪʃt ˈpʊtɪŋ ʌp aʊr ˈkrɪsməs laɪts/,audio/unit31/U031-01.mp3,U031-01
31,2,Put up,ちょうど暗くなる前にテントを設置しました。,We put up our tent just before dark.,/wi pʊt ʌp aʊr tɛnt dʒʌst bɪˈfɔr dɑrk/,audio/unit31/U031-02.mp3,U031-02
31,3,Put up,吹雪の間、旅行者にひと晩宿を貸しました。,We put the travelers up for the night during the snowstorm.,/wi pʊt ðə ˈtrævəlɚz ʌp fɚ ðə naɪt ˈdʊrɪŋ ðə ˈsnoʊˌstɔrm/,audio/unit31/U031-03.mp3,U031-03
31,4,Put up,赤ちゃんの泣き声に我慢ができないんです。,I can't put up with the sound of crying babies.,/aɪ kænt pʊt ʌp wɪð ðə saʊnd əv ˈkraɪɪŋ ˈbeɪbiz/,audio/unit31/U031-04.mp3,U031-04
31,5,Put up,うちの上司は遅刻には寛容ではありません。,My boss doesn't put up with tardiness.,/maɪ bɔs ˈdʌzənt pʊt ʌp wɪð ˈtɑrdinəs/,audio/unit31/U031-05.mp3,U031-05
32,1,Come in,お入りください、ティム。,"Please come in, Tim.","/pliz kʌm ɪn, tɪm/",audio/unit32/U032-01.mp3,U032-01
32,2,Come in,昨晩、あなたが帰ってきた音は聞こえませんでした。,I didn't hear you come in last night.,/aɪ ˈdɪdənt hɪr ju kʌm ɪn læst naɪt/,audio/unit32/U032-02.mp3,U032-02
32,3,Come in,このコートはXLサイズで売っていますか？,Does this coat come in extra-large?,/dʌz ðɪs koʊt kʌm ɪn ˌɛkstrə ˈlɑrdʒ/,audio/unit32/U032-03.mp3,U032-03
